text,label
Có rò rỉ nước ở nhà tôi,Báo rò rỉ
Đăng ký tài khoản để xem hóa đơn online,Đăng ký thông tin
Cập nhật số điện thoại liên lạc,Đăng ký thông tin
Cập nhật số điện thoại liên lạc,Đăng ký thông tin
Có rò rỉ nước ở nhà tôi,Báo rò rỉ
Đăng ký tài khoản để xem hóa đơn online,Đăng ký thông tin
Hóa đơn nước tháng này không hợp lý,Thắc mắc hóa đơn
Yêu cầu thay thế đồng hồ nước cũ bằng cái mới,Yêu cầu cấp mới
"Rò rỉ nước ở vòi chính, cần hỗ trợ",Báo rò rỉ
"Rò rỉ nước ở vòi chính, cần hỗ trợ",Báo rò rỉ
Tôi phát hiện nước bị rò dưới nền nhà,Báo rò rỉ
"Rò rỉ nước ở vòi chính, cần hỗ trợ",Báo rò rỉ
Tôi phát hiện nước bị rò dưới nền nhà,Báo rò rỉ
"Rò rỉ nước ở vòi chính, cần hỗ trợ",Báo rò rỉ
Yêu cầu hủy hợp đồng nước,Yêu cầu ngừng sử dụng
Hứa đến sửa nhưng không thấy ai đến,Khiếu nại dịch vụ
Có tiếng nước chảy dù không sử dụng,Báo rò rỉ
"Đường ống bị rò rỉ, xin sửa chữa",Báo rò rỉ
"Rò rỉ nước ở vòi chính, cần hỗ trợ",Báo rò rỉ
Dịch vụ chăm sóc khách hàng kém,Khiếu nại dịch vụ
"Gia đình tôi mới chuyển đến, cần lắp đồng hồ nước",Yêu cầu cấp mới
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Tôi cần cấp lại đồng hồ nước mới,Yêu cầu cấp mới
Tôi phát hiện nước bị rò dưới nền nhà,Báo rò rỉ
"Gia đình tôi mới chuyển đến, cần lắp đồng hồ nước",Yêu cầu cấp mới
Đăng ký tài khoản để xem hóa đơn online,Đăng ký thông tin
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Yêu cầu hủy hợp đồng nước,Yêu cầu ngừng sử dụng
Tôi muốn đổi tên chủ hộ,Đăng ký thông tin
Tôi muốn ngừng sử dụng dịch vụ nước,Yêu cầu ngừng sử dụng
Cập nhật số điện thoại liên lạc,Đăng ký thông tin
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Đăng ký tài khoản để xem hóa đơn online,Đăng ký thông tin
Yêu cầu hủy hợp đồng nước,Yêu cầu ngừng sử dụng
Tôi muốn ngừng sử dụng dịch vụ nước,Yêu cầu ngừng sử dụng
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Hóa đơn tháng này cao bất thường,Thắc mắc hóa đơn
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Nhân viên cư xử không đúng mực,Khiếu nại dịch vụ
Xin tạm dừng cung cấp nước từ tháng sau,Yêu cầu ngừng sử dụng
Tôi muốn ngừng sử dụng dịch vụ nước,Yêu cầu ngừng sử dụng
Yêu cầu thay thế đồng hồ nước cũ bằng cái mới,Yêu cầu cấp mới
Xin thay đổi thông tin cá nhân,Đăng ký thông tin
Có rò rỉ nước ở nhà tôi,Báo rò rỉ
Tôi cần cấp lại đồng hồ nước mới,Yêu cầu cấp mới
"Gia đình chuyển đi, cần cắt nước",Yêu cầu ngừng sử dụng
Xin kiểm tra giúp hóa đơn tháng này,Thắc mắc hóa đơn
Không hài lòng với cách xử lý của tổng đài,Khiếu nại dịch vụ
Nhân viên cư xử không đúng mực,Khiếu nại dịch vụ
